Date,Price,Open,High,Low,Vol,Change%
"Mar 30, 2023","2,015.60","1,999.70","2,020.10","1,989.60",3.89K,+1.57%
"Mar 29, 2023","1,984.50","1,992.10","1,993.20","1,976.40",145.72K,-0.30%
"Mar 28, 2023","1,990.40","1,975.40","1,994.20","1,967.60",121.74K,+0.96%
"Mar 27, 2023","1,971.50","2,000.30","2,001.50","1,962.70",107.04K,-1.51%
"Mar 24, 2023","2,001.70","2,013.30","2,023.90","1,995.70",118.69K,-0.58%
"Mar 23, 2023","2,013.30","1,992.50","2,023.30","1,984.40",74.55K,+2.37%
"Mar 22, 2023","1,966.60","1,959.70","1,999.40","1,953.70",60.53K,+0.42%
"Mar 21, 2023","1,958.30","2,000.70","2,005.70","1,955.90",65.17K,-2.07%
"Mar 20, 2023","1,999.70","2,008.60","2,031.70","1,987.00",69.06K,+0.48%
"Mar 17, 2023","1,990.20","1,942.70","2,010.40","1,939.10",67.46K,+2.60%
"Mar 16, 2023","1,939.70","1,940.20","1,954.60","1,928.40",34.77K,-0.43%
"Mar 15, 2023","1,948.10","1,924.50","1,959.10","1,906.00",84.73K,+1.07%
"Mar 14, 2023","1,927.40","1,935.80","1,935.80","1,916.40",33.13K,-0.29%
"Mar 13, 2023","1,933.00","1,893.80","1,935.60","1,892.50",106.59K,+2.60%
"Mar 10, 2023","1,884.00","1,852.10","1,891.10","1,847.00",61.68K,+1.76%
"Mar 09, 2023","1,851.50","1,834.90","1,856.10","1,832.70",73.56K,+0.87%
"Mar 08, 2023","1,835.60","1,834.70","1,845.30","1,830.20",62.61K,-0.07%
"Mar 07, 2023","1,836.80","1,868.60","1,873.40","1,834.20",43.01K,-1.85%
"Mar 06, 2023","1,871.40","1,877.70","1,880.90","1,867.50",14.99K,0.00%
"Mar 03, 2023","1,871.40","1,858.90","1,880.80","1,858.90",13.79K,+0.76%
"Mar 02, 2023","1,857.30","1,860.10","1,861.90","1,852.70",11.17K,-0.26%
"Mar 01, 2023","1,862.10","1,850.50","1,869.00","1,846.40",11.49K,+0.48%
